make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,total_revenue,profit_margin,profit_margin_tier,sale_month_year,sale_quarter
Nissan,Murano,SE,suv,automatic,jn8az08t14w209070,nc,19,160628,gray,black,lendmark financial services/raleigh,3900,2700,Mon Jun 01 2015 02:30:00,2700,-0.4444444444444444,Low,June 2015,2
Unknown,Unknown,Unknown,Unknown,manual,wp0ca29934s651110,ca,45,33103,silver,gray,stanford car co,34000,38500,Wed May 27 2015 05:30:00,38500,0.11688311688311688,Medium,May 2015,2
Toyota,Prius,Base,hatchback,automatic,jtdkb20u540115040,ca,31,70711,gold,beige,bob baker toyota of lemon grove,4575,6250,Wed May 27 2015 05:15:00,6250,0.268,High,May 2015,2
Nissan,Murano,SL,suv,automatic,jn8az08t54w207967,tx,23,159532,black,black,quality acceptance,3400,3100,Wed May 27 2015 03:05:00,3100,-0.0967741935483871,Low,May 2015,2
Pontiac,Vibe,Base,wagon,Unknown,5y2sl64884z447731,co,25,138361,red,black,truck n trailor,2650,2000,Wed May 27 2015 04:45:00,2000,-0.325,Low,May 2015,2
Toyota,Sienna,XLE 7-Passenger,minivan,automatic,5tdza22c94s118154,nc,2,213012,blue,gray,crossroads ford of fuquay-varina,3250,3100,Mon Jun 01 2015 02:00:00,3100,-0.04838709677419355,Low,June 2015,2
Unknown,Unknown,Unknown,Unknown,manual,wp0ca29964s650114,ca,34,93903,black,black,remarketing by ge/manheim san francisco bay,21400,22000,Wed Jun 10 2015 05:30:00,22000,0.02727272727272727,Low,June 2015,2
Nissan,Xterra,SE,suv,automatic,5n1ed28t44c640653,fl,26,139554,green,gray,barnett finance company,3100,2700,Thu May 28 2015 08:01:00,2700,-0.14814814814814814,Low,May 2015,2
Toyota,Sienna,XLE 7-Passenger,minivan,automatic,5tdza22c84s079010,ca,21,185759,silver,silver,s/s auto wholesale,4375,5900,Tue May 26 2015 17:00:00,5900,0.2584745762711864,High,May 2015,2
Nissan,Xterra,SE,suv,automatic,5n1ed28t84c672599,tx,41,153971,yellow,gray,subaru of clear lake,3500,2900,Thu May 28 2015 03:30:00,2900,-0.20689655172413793,Low,May 2015,2
Suzuki,XL-7,EX,suv,automatic,js3ty92v344105375,ca,25,191241,black,tan,honda cars of corona,1075,400,Wed May 27 2015 05:15:00,400,-1.6875,Low,May 2015,2
Nissan,Titan,XE,king cab,automatic,1n6aa06a04n577358,fl,19,88659,red,gray,coggin nissan,6275,6500,Thu May 28 2015 06:00:00,6500,0.03461538461538462,Low,May 2015,2
Saturn,ION,2,coupe,automatic,1g8an12f24z155531,nj,4,51562,silver,blue,sansone jrs 66 nissan,2825,2800,Wed May 27 2015 02:30:00,2800,-0.008928571428571428,Low,May 2015,2
Toyota,Prius,Base,hatchback,automatic,jtdkb20u640066608,ca,27,151786,silver,gray,the parshay group inc,3300,4300,Wed May 27 2015 05:30:00,4300,0.23255813953488372,High,May 2015,2
Audi,A4,1.8T quattro,sedan,Unknown,waulc68e53a239238,pa,26,100632,black,gray,r hollenshead auto sales inc,3475,2900,Fri May 29 2015 02:00:00,2900,-0.19827586206896552,Low,May 2015,2
BMW,3 Series,325i,sedan,automatic,wbaet37473nj41076,ca,36,154985,red,tan,david wilsons ford of orange,2825,2800,Wed May 27 2015 05:30:00,2800,-0.008928571428571428,Low,May 2015,2
Chevrolet,Silverado 1500,Base,extended cab,automatic,2gcec19v531166296,ca,23,159547,black,black,onemain rem/m&m auto traders,3700,4500,Wed May 27 2015 05:05:00,4500,0.17777777777777778,Medium,May 2015,2
BMW,3 Series,325xi,sedan,manual,wbaeu334x3pf60369,va,19,108432,silver,black,fredericksburg remarketing,4275,2200,Thu May 28 2015 02:20:00,2200,-0.9431818181818182,Low,May 2015,2
BMW,3 Series,325xi,wagon,automatic,wbaep33423pf03350,tx,32,162820,blue,beige,subaru of clear lake,2850,2000,Thu May 28 2015 03:30:00,2000,-0.425,Low,May 2015,2
Acura,TL,3.2 Type-S,sedan,automatic,19uua56853a036503,wa,19,166890,black,black,rairdon's dodge chrysler jeep of kirkland,2300,2650,Wed May 27 2015 07:10:00,2650,0.1320754716981132,Medium,May 2015,2
Buick,LeSabre,Custom,sedan,automatic,1g4hp52k434190601,ca,47,85229,blue,gray,wholesale enterprise inc,2625,4500,Tue Jun 02 2015 05:30:00,4500,0.4166666666666667,High,June 2015,2
BMW,3 Series,325xi,sedan,automatic,wbaeu33443ph89159,ca,2,184379,white,black,audi san diego,1825,2700,Wed May 27 2015 05:30:00,2700,0.32407407407407407,High,May 2015,2
Volkswagen,Jetta,GL,sedan,automatic,3vwrk69m34m041667,fl,19,153671,blue,black,enterprise vehicle exchange / rental / tulsa,1500,500,Fri May 29 2015 02:25:00,500,-2,Low,May 2015,2
Volkswagen,Touareg,V8,SUV,automatic,wvgcc67l44d000312,wa,19,112623,blue,brown,lexus of bellevue,4675,6000,Wed May 27 2015 06:20:00,6000,0.22083333333333333,High,May 2015,2
BMW,X5,4.4i,suv,automatic,5uxfb33533lh42765,ca,3,136062,blue,black,tradewinds remarketing,3875,3700,Wed May 27 2015 05:30:00,3700,-0.0472972972972973,Low,May 2015,2
Cadillac,CTS,Base,sedan,automatic,1g6dm57n830131205,in,22,29351,gold,tan,innovative auto llc,5175,3000,Wed May 27 2015 06:30:00,3000,-0.725,Low,May 2015,2
Audi,A6,3.0 quattro,sedan,automatic,wault64b83n057005,pa,19,148173,black,black,credit acceptance corp/vrs/southfield,1950,1200,Tue Jun 02 2015 02:30:00,1200,-0.625,Low,June 2015,2
Volvo,S40,2.4i,sedan,automatic,yv1ms382542025600,ca,19,255443,green,beige,800 loan mart,650,1600,Thu May 28 2015 05:00:00,1600,0.59375,High,May 2015,2
Volvo,XC90,2.5T,suv,automatic,yv1cz59h641101045,ca,29,116643,silver,beige,acura of pleasanton,4075,6200,Wed Jun 03 2015 05:30:00,6200,0.34274193548387094,High,June 2015,2
Volvo,C70,LPT,convertible,automatic,yv1nc63d34j045409,tx,34,118928,gray,black,san antonio dodge chrysler jeep,3025,2500,Wed May 27 2015 03:00:00,2500,-0.21,Low,May 2015,2
Chevrolet,Cavalier,Base,sedan,automatic,1g1jc52f137127659,fl,27,149457,beige,—,coggin honda of orlando,850,400,Thu May 28 2015 09:20:00,400,-1.125,Low,May 2015,2
Unknown,Unknown,Unknown,Unknown,automatic,2d4gp24353r190174,in,1,153589,burgundy,gray,manheim indianapolis,1025,600,Wed May 27 2015 05:59:00,600,-0.7083333333333334,Low,May 2015,2
Chrysler,PT Cruiser,Limited Edition,wagon,automatic,3c8fy68b33t550729,fl,19,119636,gold,gray,courtesy toyota of brandon,1400,1400,Thu May 28 2015 09:20:00,1400,0,Low,May 2015,2
Chevrolet,Suburban,1500 LS,suv,automatic,3gnec16zx3g193371,fl,19,131949,gray,beige,enterprise vehicle exchange / rental / tulsa,3600,2300,Fri May 29 2015 02:25:00,2300,-0.5652173913043478,Low,May 2015,2
Chevrolet,Tahoe,LS,suv,automatic,1gnek13z33r287499,va,19,163672,beige,beige,sullivan auto trading inc,3550,1800,Thu May 28 2015 02:35:00,1800,-0.9722222222222222,Low,May 2015,2
Chevrolet,S-10,LS,extended cab,automatic,1gcct19x238135397,nc,31,158376,red,gray,credit acceptance corp/vrs/southfield,2725,2000,Mon Jun 01 2015 02:30:00,2000,-0.3625,Low,June 2015,2
Chevrolet,Suburban,1500 LS,suv,automatic,3gnfk16z63g129111,tx,23,205203,white,gray,pm standley motorcars,3225,3500,Wed May 27 2015 03:20:00,3500,0.07857142857142857,Low,May 2015,2
Ford,Econoline Cargo,E-350 Super Duty,van,automatic,1ftss34l23hc02353,ca,2,245580,white,gray,enterprise vehicle exchange / tra / rental / tulsa,1600,2600,Thu May 28 2015 05:00:00,2600,0.38461538461538464,High,May 2015,2
Ford,Explorer,XLT,suv,Unknown,1fmzu73k73ua35001,nj,31,147717,red,brown,lester glenn ford,1875,1850,Wed May 27 2015 02:30:00,1850,-0.013513513513513514,Low,May 2015,2
Ford,Econoline Cargo,E-150,van,Unknown,1ftre14253hc02090,ca,2,168165,white,gray,wheels exchange llc,2400,2300,Wed May 27 2015 04:00:00,2300,-0.043478260869565216,Low,May 2015,2
Dodge,Ram Pickup 1500,SLT,quad cab,automatic,1d7ha18n53s305241,az,2,137767,burgundy,gray,quality acceptance,5275,4200,Thu May 28 2015 05:00:00,4200,-0.25595238095238093,Low,May 2015,2
Ford,F-150,XLT,supercrew,Unknown,1ftrw08l63kb16428,fl,19,145711,gray,gray,primeritus remarketing/metro health servi,7350,5000,Fri May 29 2015 02:15:00,5000,-0.47,Low,May 2015,2
Ford,Mustang,Premium,coupe,manual,1fafp404x3f341834,pa,31,102195,gray,black,nextgear capital,2225,1700,Fri May 29 2015 02:00:00,1700,-0.3088235294117647,Low,May 2015,2
